Longitude,Latitude,Hotel Name
"-0,49944","51,94765", GB-Travelodge Toddington M1 Southbound
"-0,28317","51,53782", GB-Express By Holiday Inn
"-0,18151","51,4756", GB-London
"-0,17336","51,51618", GB-Dolphin Hotel
"0,25719","51,12604", GB-Swan
"-0,18173","51,14599", GB-Travelodge-London Gatwick
"-0,34582","51,53685", GB-Bridge
"0,03194","51,62556", GB-Express By Holiday Inn
"-0,19484","51,49206", GB-K&K Hotel George
"-0,18617","51,51107", GB-Berjaya Eden Hotel
"-0,14218","51,5173", GB-Langham
"-0,18073","51,51311", GB-Cordova House Hotel
"0,20094","51,58682", GB-Gidea Park Hotel
"-0,08909","51,474", GB-New Dome Hotel
"-0,38893","51,65102", GB-White House Hotel
"-0,1967","51,51027", GB-Abbey Court
"-0,05346","51,30899", GB-Wesleyan Hotel
"-0,14298","51,49126", GB-Surtees Hotel
"-0,10437","51,51208", GB-Crowne Plaza
"-0,1937","51,49262", GB-My Place Hotel
"-0,19318","51,25554", GB-Bridge House Hotel
"-0,28475","51,55257", GB-London Wembley
"0,26864","51,47741", GB-Formule 1 London Thurrock M25
"-0,18157","51,5127", GB-London House
"-0,00155","51,51186", GB-Travelodge London Dockland
"-0,18184","51,49481", GB-London - Kensington
"-0,17293","51,49748", GB-Gloucester
"-0,44699","51,19191", GB-Hurtwood Inn
"-0,14815","51,51729", GB-Jurys Clifton Ford Hotel & Health Club
"-0,12027","51,51596", GB-Kingsway Hall
"-0,09609","51,37551", GB-Jurys Inn Croydon
"-0,18377","51,13621", GB-London Gatwick
"0,27752","51,19627", GB-Rose And Crown Hotel
"-0,12015","51,51947", GB-Holborn
"-0,12512","51,51955", GB-Ruskin Hotel
"-0,18022","51,5477", GB-London - Swiss Cottage
"-0,3223","51,53313", GB-Premier Travel Inn
"-0,12968","51,51726", GB-Country Inns & Suites
"-0,2046","51,56338", GB-Garth Hotel
"-0,16469","51,36498", GB-Greyhound Hotel
"-0,19525","51,49546", GB-Amber Hotel
"0,01159","51,5132", GB-London - Royal Docks
"-0,44023","51,03821", GB-Billingshurst North
"-0,19698","51,25324", GB-Reigate Manor
"-0,12815","51,51774", GB-Radisson Edwardian Kenilworth
"-0,43753","51,4809", GB-Marriott Hotel-London Heathrow
"-0,25139","51,49276", GB-Chiswick Hotel
"-0,24971","51,49697", GB-Chiswick Court Hotel
"-0,14426","51,49314", GB-Comfort Inn
"-0,18557","51,49559", GB-Kensington Manor
"-0,10187","51,35448", GB-Hayesthorpe Hotel
"-0,14449","51,51235", GB-Imperial Hotel Tokyo
"-0,16023","51,514", GB-Thistle Marble Arch
"-0,44462","51,82854", GB-Holiday Inn
"-0,57294","51,92204", GB-Travelodge
"-0,26374","51,6292", GB-Days Inn London Gateway M1
"-0,072","51,51535", GB-Ibis London City
"-0,17284","51,51647", GB-St Georges Hotel
"-0,17355","51,16968", GB-Acorn Lodge Gatwick
"0,18624","51,57798", GB-Premier Travel Inn
"0,01738","51,47511", GB-Bardon Lodge
